Nanno_30cm_BIO_ANN_AVE_1,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,ID,GRIDCODE
8.161,0,5.98,22.07,4.597,839,14
5.04,0,1.43,16.477,2.253,791,14
8.658,0,6.337,22.95,5.343,792,14
11.536,0.01,12.957,24.863,8.31,801,14
8.161,0,5.98,22.07,4.597,839,14
8.161,0,5.98,22.07,4.597,839,14
10.351,0,9.323,24.833,7.243,839,14
10.351,0,9.323,24.833,7.243,839,14
12.453,0,13.91,25.24,10.663,839,14
8.037,0,4.403,22.66,5.083,839,14
8.037,0,4.403,22.66,5.083,839,14
2.943,0,1.113,9.573,1.08,840,14
8.413,0,8.11,19.827,5.717,943,14
10.106,0,7.883,24.513,8.027,858,14
7.738,0,7.123,18.65,5.18,943,14
7.738,0,7.123,18.65,5.18,943,14
8.792,0.003,9.227,19.41,6.53,943,14
8.799,0,5.183,23.477,6.533,884,14
8.663,0,5.327,23.397,5.93,884,14
8.663,0,5.327,23.397,5.93,884,14
8.298,0,4.607,22.967,5.623,884,14
8.298,0,4.607,22.967,5.623,884,14
6.38,0,5.25,16.8,3.47,943,14
6.38,0,5.25,16.8,3.47,943,14
7.46,0,6.783,18.383,4.673,943,14
7.46,0,6.783,18.383,4.673,943,14
7.738,0,7.123,18.65,5.18,943,14
11.074,0,9.87,24.173,10.25,882,14
10.822,0,9.94,23.92,9.427,884,14
10.822,0,9.94,23.92,9.427,884,14
10.039,0,8.46,23.35,8.347,884,14
10.039,0,8.46,23.35,8.347,884,14
9.102,0,6.357,22.95,7.1,1088,14
4.711,0,2.653,13.883,2.307,943,14
4.336,0,2.393,12.81,2.137,943,14
4.336,0,2.393,12.81,2.137,943,14
7.293,0,6.52,17.997,4.653,943,14
11.267,0.003,10.52,24.787,9.757,895,14
8.993,0,4.75,23.7,7.523,896,14
9.102,0,6.357,22.95,7.1,1088,14
9.102,0,6.357,22.95,7.1,1088,14
7.928,0,3.913,22.037,5.76,1088,14
3.843,0,0.903,13.147,1.323,899,14
3.144,0,0.573,10.98,1.02,899,14
4.271,0,2.28,12.793,2.007,943,14
4.271,0,2.28,12.793,2.007,943,14
4.711,0,2.653,13.883,2.307,943,14
4.711,0,2.653,13.883,2.307,943,14
4.336,0,2.393,12.81,2.137,943,14
4.336,0,2.393,12.81,2.137,943,14
5.988,0,4.583,15.91,3.453,900,14
11.008,0,9.513,24.88,9.637,909,14
8.273,0,4.363,21.977,6.757,1088,14
8.273,0,4.363,21.977,6.757,1088,14
4.545,0,2.147,13.843,2.19,941,14
4.545,0,2.147,13.843,2.19,941,14
3.999,0,1.727,12.557,1.71,941,14
2.348,0,0.56,8.047,0.783,943,14
3.476,0,1.24,11.143,1.52,943,14
3.476,0,1.24,11.143,1.52,943,14
4.717,0,2.433,13.99,2.447,943,14
4.717,0,2.433,13.99,2.447,943,14
3.784,0,1.583,11.767,1.787,943,14
9.784,0.003,8.573,23.533,7.027,925,14
11.008,0,9.513,24.88,9.637,926,14
8.273,0,4.363,21.977,6.757,1088,14
8.05,0,3.713,22.207,6.28,1088,14
3.951,0,0.98,13.08,1.74,929,14
3.943,0,1.543,12.42,1.81,941,14
3.943,0,1.543,12.42,1.81,941,14
4.545,0,2.147,13.843,2.19,941,14
4.545,0,2.147,13.843,2.19,941,14
3.476,0,1.24,11.143,1.52,943,14
4.717,0,2.433,13.99,2.447,943,14
4.717,0,2.433,13.99,2.447,943,14
6.611,0,5.403,16.743,4.297,931,14
7.261,0,2.91,20.163,5.97,1088,14
7.261,0,2.91,20.163,5.97,1088,14
6.786,0.127,1.92,20.057,5.04,1088,14
6.317,0,2.117,19.95,3.203,1088,14
6.259,0,2.373,19.343,3.323,1088,14
6.259,0,2.373,19.343,3.323,1088,14
6.494,0,2.92,19.393,3.663,1088,14
6.494,0,2.92,19.393,3.663,1088,14
5.244,0,1.84,16.447,2.69,1088,14
3.315,0,0.81,11.133,1.317,941,14
4.428,0,1.65,13.92,2.143,941,14
4.428,0,1.65,13.92,2.143,941,14
4.115,0,1.507,13.05,1.9,941,14
4.047,0,1.617,12.493,2.077,1054,14
3.987,0,1.54,12.383,2.023,943,14
4.51,0,2.09,13.43,2.52,1054,14
7.261,0,2.91,20.163,5.97,1088,14
6.786,0.127,1.92,20.057,5.04,1088,14
6.786,0.127,1.92,20.057,5.04,1088,14
6.954,0.127,2.123,20.77,4.793,1088,14
7.228,0,2.84,22.003,4.067,1088,14
6.317,0,2.117,19.95,3.203,1088,14
