Nanno_30cm_BIO_ANN_AVE_1,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,AEZ_CODE,REG32_CODE
10.456,0,12.21,21.643,7.967,8,11
10.456,0,12.21,21.643,7.967,8,11
10.314,0,11.823,21.793,7.637,8,11
10.314,0,11.823,21.793,7.637,8,11
9.928,0,10.783,21.803,7.123,8,11
9.928,0,10.783,21.803,7.123,8,11
9.831,0,10.473,21.8,7.047,8,11
9.831,0,10.473,21.8,7.047,8,11
9.784,0,10.523,21.563,7.047,8,11
9.784,0,10.523,21.563,7.047,8,11
10.519,0.02,13.977,18.817,9.263,8,11
10.519,0.02,13.977,18.817,9.263,8,11
10.257,0.097,15.633,15.123,10.173,8,11
10.257,0.097,15.633,15.123,10.173,8,11
10.391,0.07,15.467,15.703,10.323,8,11
10.391,0.07,15.467,15.703,10.323,8,11
10.618,0.023,14.28,18.11,10.06,8,11
10.618,0.023,14.28,18.11,10.06,8,11
10.36,0.007,12.74,19.207,9.487,8,11
10.247,0.003,11.543,21.697,7.743,8,11
10.247,0.003,11.543,21.697,7.743,8,11
10.456,0,12.21,21.643,7.967,8,11
10.456,0,12.21,21.643,7.967,8,11
10.314,0,11.823,21.793,7.637,8,11
10.314,0,11.823,21.793,7.637,8,11
9.928,0,10.783,21.803,7.123,8,11
9.928,0,10.783,21.803,7.123,8,11
9.784,0,10.523,21.563,7.047,8,11
9.784,0,10.523,21.563,7.047,8,11
10.519,0.02,13.977,18.817,9.263,8,11
10.519,0.02,13.977,18.817,9.263,8,11
10.257,0.097,15.633,15.123,10.173,8,11
10.257,0.097,15.633,15.123,10.173,8,11
10.391,0.07,15.467,15.703,10.323,8,11
10.391,0.07,15.467,15.703,10.323,8,11
10.618,0.023,14.28,18.11,10.06,8,11
10.618,0.023,14.28,18.11,10.06,8,11
10.36,0.007,12.74,19.207,9.487,8,11
10.043,0.003,10.98,21.5,7.683,8,11
10.317,0.007,11.71,21.603,7.947,8,11
10.317,0.007,11.71,21.603,7.947,8,11
10.573,0.007,12.693,21.313,8.28,8,11
10.573,0.007,12.693,21.313,8.28,8,11
10.053,0,11.28,21.593,7.337,8,11
10.17,0.003,11.667,21.283,7.73,8,11
10.308,0.103,15.64,15.163,10.323,8,11
10.308,0.103,15.64,15.163,10.323,8,11
9.887,0.14,16.16,12.71,10.537,8,11
9.887,0.14,16.16,12.71,10.537,8,11
9.903,0.137,16.093,12.823,10.557,8,11
9.903,0.137,16.093,12.823,10.557,8,11
10.292,0.09,15.547,15,10.53,8,11
10.292,0.09,15.547,15,10.53,8,11
9.732,0.003,10.38,21.31,7.233,8,11
10.043,0.003,10.98,21.5,7.683,8,11
10.043,0.003,10.98,21.5,7.683,8,11
10.317,0.007,11.71,21.603,7.947,8,11
10.317,0.007,11.71,21.603,7.947,8,11
10.573,0.007,12.693,21.313,8.28,8,11
10.573,0.007,12.693,21.313,8.28,8,11
10.308,0.103,15.64,15.163,10.323,8,11
10.308,0.103,15.64,15.163,10.323,8,11
9.887,0.14,16.16,12.71,10.537,8,11
9.887,0.14,16.16,12.71,10.537,8,11
9.903,0.137,16.093,12.823,10.557,8,11
9.903,0.137,16.093,12.823,10.557,8,11
9.809,0.01,10.803,20.77,7.653,8,11
9.559,0.003,10.047,21.033,7.153,8,11
9.559,0.003,10.047,21.033,7.153,8,11
9.694,0.007,10.293,21.12,7.357,8,11
9.694,0.007,10.293,21.12,7.357,8,11
10.22,0.01,11.623,21.19,8.057,8,11
10.22,0.01,11.623,21.19,8.057,8,11
10.718,0.037,13.843,19.617,9.377,8,11
10.718,0.037,13.843,19.617,9.377,8,11
10.096,0.19,15.853,13.68,10.657,8,11
9.622,0.227,16.273,11.163,10.82,8,11
9.622,0.227,16.273,11.163,10.82,8,11
8.413,0,8.11,19.827,5.717,8,11
9.432,0.007,10.327,20.237,7.157,8,11
10.056,0.017,11.827,20.24,8.14,8,11
9.809,0.01,10.803,20.77,7.653,8,11
9.809,0.01,10.803,20.77,7.653,8,11
9.559,0.003,10.047,21.033,7.153,8,11
9.559,0.003,10.047,21.033,7.153,8,11
9.694,0.007,10.293,21.12,7.357,8,11
9.694,0.007,10.293,21.12,7.357,8,11
10.22,0.01,11.623,21.19,8.057,8,11
7.46,0,6.783,18.383,4.673,8,11
8.792,0.003,9.227,19.41,6.53,8,11
9.765,0.017,11.447,19.717,7.88,8,11
9.765,0.017,11.447,19.717,7.88,8,11
9.062,0.007,9.843,19.703,6.693,8,11
9.062,0.007,9.843,19.703,6.693,8,11
9.318,0.007,10.03,20.397,6.84,8,11
9.318,0.007,10.03,20.397,6.84,8,11
9.874,0.013,11.107,20.55,7.823,8,11
9.874,0.013,11.107,20.55,7.823,8,11
7.738,0,7.123,18.65,5.18,8,11
8.792,0.003,9.227,19.41,6.53,8,11
8.792,0.003,9.227,19.41,6.53,8,11
9.765,0.017,11.447,19.717,7.88,8,11
9.765,0.017,11.447,19.717,7.88,8,11
9.062,0.007,9.843,19.703,6.693,8,11
9.062,0.007,9.843,19.703,6.693,8,11
9.318,0.007,10.03,20.397,6.84,8,11
7.805,0,7.37,18.51,5.337,8,11
8.813,0.003,9.323,19.4,6.52,8,11
9.323,0.01,10.413,19.64,7.23,8,11
9.323,0.01,10.413,19.64,7.23,8,11
