Nanno_30cm_BIO_ANN_AVE,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,ID,GRIDCODE
10.927,0.03,10.643,22.157,10.873,298,110
8.003,0,3.727,21.62,6.667,298,110
5.7,0,2.897,16.447,3.457,298,110
4.113,0,1.54,12.817,2.097,298,110
15.407,11.783,21.843,12.407,15.593,298,110
15.407,11.783,21.843,12.407,15.593,298,110
16.803,5.31,22.103,22.227,17.573,298,110
16.803,5.31,22.103,22.227,17.573,298,110
10.733,0.097,11.15,21.357,10.33,298,110
10.733,0.097,11.15,21.357,10.33,298,110
5.409,0,1.643,15.623,4.37,298,110
5.409,0,1.643,15.623,4.37,298,110
4.446,0,1.027,13.87,2.89,298,110
4.446,0,1.027,13.87,2.89,298,110
5.756,0,2.187,16.983,3.857,298,110
5.756,0,2.187,16.983,3.857,298,110
5.984,0,3.313,16.663,3.963,298,110
5.984,0,3.313,16.663,3.963,298,110
4.953,0,2.62,14.127,3.067,298,110
4.953,0,2.62,14.127,3.067,298,110
4.757,0,2.527,13.553,2.95,298,110
4.757,0,2.527,13.553,2.95,298,110
6.049,0,3.957,15.977,4.263,298,110
15.407,11.783,21.843,12.407,15.593,298,110
15.407,11.783,21.843,12.407,15.593,298,110
16.803,5.31,22.103,22.227,17.573,298,110
16.803,5.31,22.103,22.227,17.573,298,110
10.733,0.097,11.15,21.357,10.33,298,110
10.733,0.097,11.15,21.357,10.33,298,110
5.409,0,1.643,15.623,4.37,298,110
5.409,0,1.643,15.623,4.37,298,110
5.379,0,1.387,16.03,4.1,298,110
5.379,0,1.387,16.03,4.1,298,110
4.446,0,1.027,13.87,2.89,298,110
4.446,0,1.027,13.87,2.89,298,110
5.756,0,2.187,16.983,3.857,298,110
5.756,0,2.187,16.983,3.857,298,110
4.996,0,1.777,15.263,2.94,298,110
4.996,0,1.777,15.263,2.94,298,110
4.588,0,1.543,14.107,2.703,298,110
4.588,0,1.543,14.107,2.703,298,110
4.699,0,1.723,14.21,2.863,298,110
5.58,0,2.493,16.133,3.697,298,110
5.58,0,2.493,16.133,3.697,298,110
5.984,0,3.313,16.663,3.963,298,110
5.984,0,3.313,16.663,3.963,298,110
4.953,0,2.62,14.127,3.067,298,110
4.953,0,2.62,14.127,3.067,298,110
4.757,0,2.527,13.553,2.95,298,110
4.757,0,2.527,13.553,2.95,298,110
6.049,0,3.957,15.977,4.263,298,110
6.049,0,3.957,15.977,4.263,298,110
4.003,0,2.14,11.517,2.353,298,110
4.003,0,2.14,11.517,2.353,298,110
12.166,13.743,19.237,4.157,11.523,298,110
12.166,13.743,19.237,4.157,11.523,298,110
13.047,13.95,19.827,5.873,12.54,298,110
13.047,13.95,19.827,5.873,12.54,298,110
17.217,12.077,22.867,17.01,16.917,298,110
17.217,12.077,22.867,17.01,16.917,298,110
17.712,8.51,22.87,21.353,18.113,298,110
17.712,8.51,22.87,21.353,18.113,298,110
12.108,0.3,13.87,22.177,12.08,298,110
12.108,0.3,13.87,22.177,12.08,298,110
5.743,0,2.3,15.923,4.75,298,110
5.743,0,2.3,15.923,4.75,298,110
4.868,0,1.453,14.31,3.707,298,110
4.868,0,1.453,14.31,3.707,298,110
5.164,0,1.837,14.997,3.823,298,110
5.164,0,1.837,14.997,3.823,298,110
5.343,0,1.903,15.67,3.8,298,110
5.343,0,1.903,15.67,3.8,298,110
6.738,0,3.333,18.44,5.18,298,110
6.738,0,3.333,18.44,5.18,298,110
5.022,0,2.07,14.583,3.437,298,110
5.022,0,2.07,14.583,3.437,298,110
7.865,0,5.34,19.65,6.47,298,110
7.865,0,5.34,19.65,6.47,298,110
7.618,0,5.323,18.853,6.297,298,110
7.618,0,5.323,18.853,6.297,298,110
7.604,0,5.477,18.513,6.427,298,110
7.604,0,5.477,18.513,6.427,298,110
8.813,0.01,7.387,19.763,8.093,298,110
8.813,0.01,7.387,19.763,8.093,298,110
5.968,0,4.027,15.047,4.803,298,110
5.968,0,4.027,15.047,4.803,298,110
7.7,0.01,6.3,17.667,6.823,298,110
7.7,0.01,6.3,17.667,6.823,298,110
8.385,0.033,7.673,18.173,7.66,298,110
8.385,0.033,7.673,18.173,7.66,298,110
10.339,0.377,10.73,19.577,10.673,298,110
10.339,0.377,10.73,19.577,10.673,298,110
3.93,0,2.027,11.113,2.58,298,110
3.93,0,2.027,11.113,2.58,298,110
12.233,12.937,19.86,4.513,11.62,298,110
12.166,13.743,19.237,4.157,11.523,298,110
12.166,13.743,19.237,4.157,11.523,298,110
13.047,13.95,19.827,5.873,12.54,298,110
13.047,13.95,19.827,5.873,12.54,298,110
17.217,12.077,22.867,17.01,16.917,298,110
17.217,12.077,22.867,17.01,16.917,298,110
17.712,8.51,22.87,21.353,18.113,298,110
17.712,8.51,22.87,21.353,18.113,298,110
12.108,0.3,13.87,22.177,12.08,298,110
12.108,0.3,13.87,22.177,12.08,298,110
5.743,0,2.3,15.923,4.75,298,110
5.743,0,2.3,15.923,4.75,298,110
4.868,0,1.453,14.31,3.707,298,110
4.868,0,1.453,14.31,3.707,298,110
5.164,0,1.837,14.997,3.823,298,110
5.164,0,1.837,14.997,3.823,298,110
5.343,0,1.903,15.67,3.8,298,110
5.343,0,1.903,15.67,3.8,298,110
6.738,0,3.333,18.44,5.18,298,110
6.738,0,3.333,18.44,5.18,298,110
5.022,0,2.07,14.583,3.437,298,110
5.022,0,2.07,14.583,3.437,298,110
7.865,0,5.34,19.65,6.47,298,110
7.865,0,5.34,19.65,6.47,298,110
7.618,0,5.323,18.853,6.297,298,110
7.618,0,5.323,18.853,6.297,298,110
7.604,0,5.477,18.513,6.427,298,110
7.604,0,5.477,18.513,6.427,298,110
8.813,0.01,7.387,19.763,8.093,298,110
8.813,0.01,7.387,19.763,8.093,298,110
5.968,0,4.027,15.047,4.803,298,110
5.968,0,4.027,15.047,4.803,298,110
7.7,0.01,6.3,17.667,6.823,298,110
7.7,0.01,6.3,17.667,6.823,298,110
8.385,0.033,7.673,18.173,7.66,298,110
8.385,0.033,7.673,18.173,7.66,298,110
10.339,0.377,10.73,19.577,10.673,298,110
10.339,0.377,10.73,19.577,10.673,298,110
3.93,0,2.027,11.113,2.58,298,110
3.93,0,2.027,11.113,2.58,298,110
6.543,0.003,4.703,15.93,5.537,298,110
12.415,13.177,19.73,4.767,11.987,298,110
12.415,13.177,19.73,4.767,11.987,298,110
12.356,14.093,19.88,4.34,11.113,298,110
12.356,14.093,19.88,4.34,11.113,298,110
12.111,14.817,19.12,3.743,10.767,298,110
12.111,14.817,19.12,3.743,10.767,298,110
11.458,15.577,17.087,2.807,10.367,298,110
11.458,15.577,17.087,2.807,10.367,298,110
11.582,15.603,17.393,2.713,10.617,298,110
11.582,15.603,17.393,2.713,10.617,298,110
14.467,13.893,21.44,8.387,14.15,298,110
14.467,13.893,21.44,8.387,14.15,298,110
16.643,6.117,21.987,21.423,17.043,298,110
16.643,6.117,21.987,21.423,17.043,298,110
10.692,0.113,10.747,21.367,10.537,298,110
10.692,0.113,10.747,21.367,10.537,298,110
8.089,0.003,5.313,19.88,7.157,298,110
8.089,0.003,5.313,19.88,7.157,298,110
4.913,0,1.793,14.26,3.597,298,110
4.913,0,1.793,14.26,3.597,298,110
4.031,0,1.483,12,2.637,298,110
4.031,0,1.483,12,2.637,298,110
5.813,0,3.157,15.717,4.38,298,110
5.813,0,3.157,15.717,4.38,298,110
7.379,0,5.297,17.947,6.273,298,110
7.379,0,5.297,17.947,6.273,298,110
6.8,0,4.893,16.5,5.807,298,110
6.8,0,4.893,16.5,5.807,298,110
6.848,0,5.127,16.403,5.863,298,110
6.848,0,5.127,16.403,5.863,298,110
7.214,0.007,5.917,16.69,6.247,298,110
7.214,0.007,5.917,16.69,6.247,298,110
7.412,0.02,6.597,16.477,6.557,298,110
7.412,0.02,6.597,16.477,6.557,298,110
11.154,0.45,12.287,20.027,11.853,298,110
11.154,0.45,12.287,20.027,11.853,298,110
