Nanno_30cm_BIO_ANN_AVE,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,ID,GRIDCODE
9.525,0,9.433,19.88,8.787,120,19
9.525,0,9.433,19.88,8.787,120,19
8.866,0,7.903,19.667,7.893,120,19
8.866,0,7.903,19.667,7.893,120,19
10.138,0.023,12.583,16.897,11.05,120,19
9.525,0,9.433,19.88,8.787,120,19
9.525,0,9.433,19.88,8.787,120,19
8.866,0,7.903,19.667,7.893,120,19
8.866,0,7.903,19.667,7.893,120,19
9.933,0.007,12.313,16.793,10.62,120,19
9.368,0,9.733,19.143,8.6,120,19
9.368,0,9.733,19.143,8.6,120,19
10.094,0.053,11.803,18.257,10.263,120,19
10.094,0.053,11.803,18.257,10.263,120,19
9.887,0.037,13.433,14.603,11.473,120,19
9.933,0.007,12.313,16.793,10.62,120,19
9.933,0.007,12.313,16.793,10.62,120,19
9.368,0,9.733,19.143,8.6,120,19
9.368,0,9.733,19.143,8.6,120,19
10.094,0.053,11.803,18.257,10.263,120,19
10.094,0.053,11.803,18.257,10.263,120,19
9.873,0.053,13.54,14.34,11.56,120,19
9.873,0.053,13.54,14.34,11.56,120,19
9.492,0,9.787,19.593,8.587,120,19
9.492,0,9.787,19.593,8.587,120,19
9.962,0.007,11.42,18.723,9.693,120,19
9.962,0.007,11.42,18.723,9.693,120,19
11.138,0.02,11.473,21.453,11.603,120,19
9.817,0.06,14.227,13.13,11.853,120,19
9.873,0.053,13.54,14.34,11.56,120,19
9.873,0.053,13.54,14.34,11.56,120,19
9.492,0,9.787,19.593,8.587,120,19
9.492,0,9.787,19.593,8.587,120,19
9.962,0.007,11.42,18.723,9.693,120,19
9.962,0.007,11.42,18.723,9.693,120,19
10.184,0.03,13.083,16.147,11.477,120,19
9.745,0,10.323,19.387,9.27,120,19
9.745,0,10.323,19.387,9.27,120,19
9.883,0,10.517,19.893,9.12,120,19
9.883,0,10.517,19.893,9.12,120,19
10.248,0.037,12.223,18.237,10.497,120,19
10.248,0.037,12.223,18.237,10.497,120,19
10.716,0.423,13.83,16.657,11.957,120,19
10.716,0.423,13.83,16.657,11.957,120,19
11.697,0.257,14.61,18.883,13.033,120,19
10.184,0.03,13.083,16.147,11.477,120,19
10.184,0.03,13.083,16.147,11.477,120,19
9.745,0,10.323,19.387,9.27,120,19
9.745,0,10.323,19.387,9.27,120,19
9.883,0,10.517,19.893,9.12,120,19
9.883,0,10.517,19.893,9.12,120,19
