,region,AEZ,Daily,Annual,
87,USA,6,18.615,6.794475,AlgaeAEZ06
103,USA,7,16.632,6.07068,AlgaeAEZ07
120,USA,8,16.5348,6.035202,AlgaeAEZ08
136,USA,9,17.8669,6.5214185,AlgaeAEZ09
158,USA,10,16.646,6.07579,AlgaeAEZ10
175,USA,11,12.518,4.56907,AlgaeAEZ11
190,USA,12,13.4184,4.897716,AlgaeAEZ12
1,Africa_Eastern,1,19.328,7.05472,AlgaeAEZ01
14,Africa_Eastern,2,20.332,7.42118,AlgaeAEZ02
27,Africa_Eastern,3,19.731,7.201815,AlgaeAEZ03
39,Africa_Eastern,4,20.36695,7.43393675,AlgaeAEZ04
55,Africa_Eastern,5,20.5614,7.504911,AlgaeAEZ05
71,Africa_Eastern,6,20.5952,7.517248,AlgaeAEZ06
88,Africa_Eastern,7,19.5669,7.1419185,AlgaeAEZ07
104,Africa_Eastern,8,20.0732,7.326718,AlgaeAEZ08
121,Africa_Eastern,9,20.6372,7.532578,AlgaeAEZ09
137,Africa_Eastern,10,20.814,7.59711,AlgaeAEZ10
159,Africa_Eastern,11,20.933,7.640545,AlgaeAEZ11
176,Africa_Eastern,12,20.5296,7.493304,AlgaeAEZ12
2,Africa_Northern,1,21.216,7.74384,AlgaeAEZ01
15,Africa_Northern,2,19.13345,6.98370925,AlgaeAEZ02
40,Africa_Northern,4,18.864,6.88536,AlgaeAEZ04
89,Africa_Northern,7,19.383,7.074795,AlgaeAEZ07
105,Africa_Northern,8,19.387,7.076255,AlgaeAEZ08
122,Africa_Northern,9,18.563,6.775495,AlgaeAEZ09
138,Africa_Northern,10,17.907,6.536055,AlgaeAEZ10
3,Africa_Southern,1,18.917,6.904705,AlgaeAEZ01
16,Africa_Southern,2,19.9452,7.279998,AlgaeAEZ02
28,Africa_Southern,3,19.811,7.231015,AlgaeAEZ03
41,Africa_Southern,4,19.8005,7.2271825,AlgaeAEZ04
56,Africa_Southern,5,18.968,6.92332,AlgaeAEZ05
72,Africa_Southern,6,18.993,6.932445,AlgaeAEZ06
90,Africa_Southern,7,19.185,7.002525,AlgaeAEZ07
106,Africa_Southern,8,19.749,7.208385,AlgaeAEZ08
123,Africa_Southern,9,18.595,6.787175,AlgaeAEZ09
139,Africa_Southern,10,19.428,7.09122,AlgaeAEZ10
160,Africa_Southern,11,19.3284,7.054866,AlgaeAEZ11
4,Africa_Western,1,19.8115,7.2311975,AlgaeAEZ01
17,Africa_Western,2,14.04355,5.12589575,AlgaeAEZ02
29,Africa_Western,3,13.8914,5.070361,AlgaeAEZ03
42,Africa_Western,4,17.907,6.536055,AlgaeAEZ04
57,Africa_Western,5,15.715,5.735975,AlgaeAEZ05
73,Africa_Western,6,14.131,5.157815,AlgaeAEZ06
91,Africa_Western,7,19.409,7.084285,AlgaeAEZ07
140,Africa_Western,10,17.672,6.45028,AlgaeAEZ10
92,Argentina,7,14.666,5.35309,AlgaeAEZ07
107,Argentina,8,15.297,5.583405,AlgaeAEZ08
124,Argentina,9,16.026,5.84949,AlgaeAEZ09
141,Argentina,10,15.835,5.779775,AlgaeAEZ10
161,Argentina,11,15.591,5.690715,AlgaeAEZ11
177,Argentina,12,15.2736,5.574864,AlgaeAEZ12
5,Australia_NZ,1,18.486,6.74739,AlgaeAEZ01
18,Australia_NZ,2,15.024,5.48376,AlgaeAEZ02
30,Australia_NZ,3,13.6464,4.980936,AlgaeAEZ03
43,Australia_NZ,4,16.738,6.10937,AlgaeAEZ04
58,Australia_NZ,5,17.914,6.53861,AlgaeAEZ05
74,Australia_NZ,6,18.189,6.638985,AlgaeAEZ06
93,Australia_NZ,7,18.754,6.84521,AlgaeAEZ07
108,Australia_NZ,8,17.6918,6.457507,AlgaeAEZ08
125,Australia_NZ,9,17.4398,6.365527,AlgaeAEZ09
142,Australia_NZ,10,17.0051,6.2068615,AlgaeAEZ10
162,Australia_NZ,11,17.7104,6.464296,AlgaeAEZ11
178,Australia_NZ,12,18.156,6.62694,AlgaeAEZ12
6,Brazil,1,14.9323,5.4502895,AlgaeAEZ01
19,Brazil,2,16.448,6.00352,AlgaeAEZ02
31,Brazil,3,16.952,6.18748,AlgaeAEZ03
44,Brazil,4,17.028,6.21522,AlgaeAEZ04
59,Brazil,5,16.7666,6.119809,AlgaeAEZ05
75,Brazil,6,16.258,5.93417,AlgaeAEZ06
143,Brazil,10,15.843,5.782695,AlgaeAEZ10
179,Brazil,12,17.347,6.331655,AlgaeAEZ12
20,Central America and Caribbean,2,17.677,6.452105,AlgaeAEZ02
45,Central America and Caribbean,4,18.57655,6.78044075,AlgaeAEZ04
60,Central America and Caribbean,5,19.054,6.95471,AlgaeAEZ05
76,Central America and Caribbean,6,18.8942,6.896383,AlgaeAEZ06
